epoch,dice_coefficient,f1_score,iou_metric,loss,val_dice_coefficient,val_f1_score,val_iou_metric,val_loss
0,0.8048253655433655,0.8397571444511414,0.7046911716461182,0.3048025965690613,0.3942565619945526,0.41736871004104614,0.2516353726387024,1.5718276500701904
1,0.9209793210029602,0.9404125213623047,0.8544861078262329,0.1194981038570404,0.8922345042228699,0.9096599221229553,0.8072202801704407,0.17772211134433746
2,0.9378947615623474,0.9521770477294922,0.883696973323822,0.09284713864326477,0.9399930834770203,0.9525462985038757,0.8873311281204224,0.09013290703296661
3,0.9458416104316711,0.957881510257721,0.8977622985839844,0.08002572506666183,0.947334885597229,0.9587412476539612,0.9004061818122864,0.07728440314531326
4,0.9501732587814331,0.9609559774398804,0.9055291414260864,0.0730612725019455,0.9499379396438599,0.9602986574172974,0.9050787091255188,0.07352037727832794
5,0.9536204934120178,0.9635339379310608,0.9117635488510132,0.06753670424222946,0.9536698460578918,0.9628818035125732,0.9118579030036926,0.06828921288251877
6,0.9562498927116394,0.9654996991157532,0.9165498614311218,0.06324197351932526,0.9555196166038513,0.9647209644317627,0.9152054786682129,0.0641559436917305
7,0.9583011269569397,0.9670389890670776,0.920299768447876,0.05983240529894829,0.957626461982727,0.965924859046936,0.9190764427185059,0.06147344410419464
8,0.9599577188491821,0.9682842493057251,0.923340916633606,0.057206347584724426,0.9585581421852112,0.96685791015625,0.9207747578620911,0.059568215161561966
9,0.9611538052558899,0.969176173210144,0.9255441427230835,0.055366288870573044,0.9601903557777405,0.9673020243644714,0.9237716794013977,0.0586596243083477
10,0.9626384973526001,0.9703392386436462,0.928284227848053,0.053084760904312134,0.9611613750457764,0.9683512449264526,0.9255692362785339,0.056695036590099335
11,0.9634862542152405,0.9709781408309937,0.9298540353775024,0.05180085822939873,0.9618645310401917,0.9688324928283691,0.926875114440918,0.05553516373038292
12,0.9643749594688416,0.9716686606407166,0.9315018653869629,0.05043071135878563,0.9623823165893555,0.969318151473999,0.9278305172920227,0.05453095585107803
13,0.9652355313301086,0.9723414778709412,0.9331029653549194,0.04915071278810501,0.9627507328987122,0.9697530269622803,0.9285037517547607,0.053729426115751266
