epoch,dice_coefficient,f1_score,iou_metric,loss,val_dice_coefficient,val_f1_score,val_iou_metric,val_loss
0,0.709796667098999,0.7500484585762024,0.5945099592208862,0.4604681432247162,0.816724956035614,0.8430440425872803,0.6926600933074951,0.30812716484069824
1,0.9052030444145203,0.9287586212158203,0.8279814124107361,0.1474294662475586,0.9003607034683228,0.9208569526672363,0.8198782801628113,0.15964451432228088
2,0.924872100353241,0.942672848701477,0.8610339164733887,0.11426788568496704,0.9188602566719055,0.9349231123924255,0.8507591485977173,0.12779353559017181
3,0.9352644681930542,0.9499300122261047,0.87903892993927,0.09761781245470047,0.9336591362953186,0.946227490901947,0.8762718439102173,0.10393448919057846
4,0.942166268825531,0.9548962116241455,0.8912063241004944,0.08639544993638992,0.9385209083557129,0.9501257538795471,0.8847681879997253,0.09443114697933197
5,0.9467285871505737,0.9582542777061462,0.8993430137634277,0.07897293567657471,0.9422487616539001,0.9533065557479858,0.8913447856903076,0.08797144889831543
6,0.9502884149551392,0.9609229564666748,0.9057347178459167,0.07328604906797409,0.9481640458106995,0.9580531716346741,0.9019395709037781,0.07843076437711716
7,0.952701985836029,0.9626798629760742,0.9101033210754395,0.06935694813728333,0.950273334980011,0.9598850607872009,0.9056986570358276,0.07425413280725479
8,0.9548698663711548,0.9643278121948242,0.9140386581420898,0.06587554514408112,0.9526302814483643,0.962088942527771,0.9099727272987366,0.06988947093486786
9,0.9563120007514954,0.9653946757316589,0.916663408279419,0.0636303573846817,0.9548627734184265,0.9630995392799377,0.914018988609314,0.06785175949335098
10,0.957987368106842,0.9667040705680847,0.919727087020874,0.06099187210202217,0.9561336040496826,0.9645093679428101,0.9163474440574646,0.0648617222905159
11,0.9589853286743164,0.9674466848373413,0.9215567111968994,0.05943992733955383,0.9578366279602051,0.965712308883667,0.9194551706314087,0.06258925050497055
12,0.9602704644203186,0.968450129032135,0.9239201545715332,0.05734417214989662,0.9583905935287476,0.9663676023483276,0.9204640984535217,0.061052341014146805
13,0.9611653685569763,0.9691452383995056,0.9255675077438354,0.05570925399661064,0.9598057866096497,0.9669061303138733,0.9230709671974182,0.059673797339200974
14,0.9621541500091553,0.9699143171310425,0.9273927211761475,0.054113708436489105,0.9607738256454468,0.9679326415061951,0.9248510599136353,0.05764726549386978
15,0.962623119354248,0.9702434539794922,0.9282578229904175,0.05338515341281891,0.9602446556091309,0.9679814577102661,0.9238715767860413,0.05748628079891205
16,0.9636316299438477,0.9710608124732971,0.9301245212554932,0.05179847404360771,0.9614045023918152,0.9685264229774475,0.9260160326957703,0.05644400790333748
17,0.964372456073761,0.9716453552246094,0.9314965009689331,0.05064872279763222,0.9615485668182373,0.9687354564666748,0.9262937307357788,0.0559440478682518
0,0.7392024993896484,0.7766642570495605,0.6248477101325989,0.4091375768184662,0.8590486645698547,0.8773074150085449,0.7546045780181885,0.28524887561798096
1,0.9052649736404419,0.9281364679336548,0.8280824422836304,0.16144782304763794,0.887713611125946,0.9044409394264221,0.799587607383728,0.20851868391036987
2,0.9239211678504944,0.9406757950782776,0.8593883514404297,0.13179939985275269,0.9165063500404358,0.9287696480751038,0.8468823432922363,0.15536941587924957
3,0.9334655404090881,0.9471951127052307,0.8758560419082642,0.11662914603948593,0.9270392656326294,0.9390990138053894,0.8647728562355042,0.13175341486930847
4,0.9396074414253235,0.9516822099685669,0.8866260051727295,0.10665760189294815,0.9353067874908447,0.9465810060501099,0.87908935546875,0.11605154722929001
5,0.9444767236709595,0.9558395743370056,0.8952792286872864,0.09215927869081497,0.9431203007698059,0.9527625441551208,0.8929052948951721,0.08890783041715622
6,0.9500293135643005,0.9607253670692444,0.9052664041519165,0.07374674081802368,0.9485195875167847,0.958604097366333,0.9025753736495972,0.07721588760614395
7,0.9526450037956238,0.9626888632774353,0.909997820854187,0.06970691680908203,0.9508786797523499,0.9603419899940491,0.906794548034668,0.07351933419704437
8,0.9546495079994202,0.9642064571380615,0.9136374592781067,0.0665636882185936,0.9521255493164062,0.9618113040924072,0.9090766310691833,0.07039979100227356
9,0.9564664959907532,0.9655842781066895,0.9169505834579468,0.06375233083963394,0.9546945095062256,0.9632348418235779,0.9137166142463684,0.06774920970201492
10,0.9578553438186646,0.9666350483894348,0.9194885492324829,0.061575017869472504,0.9563149809837341,0.9646971821784973,0.9166797995567322,0.06483709067106247
11,0.9590648412704468,0.9675658941268921,0.9217032790184021,0.059692006558179855,0.9575256109237671,0.9655744433403015,0.918879508972168,0.0631299614906311
12,0.9600801467895508,0.9683173894882202,0.9235714673995972,0.058124344795942307,0.9572575688362122,0.9655134081840515,0.9183938503265381,0.06308057904243469
13,0.961193859577179,0.9691934585571289,0.9256218671798706,0.05641734227538109,0.9591103196144104,0.9667679071426392,0.9217768311500549,0.06055997312068939
14,0.9618971347808838,0.9697004556655884,0.9269219636917114,0.055313169956207275,0.9598278999328613,0.9676385521888733,0.9231162667274475,0.0589069128036499
15,0.9628348350524902,0.9704505205154419,0.9286522269248962,0.05381445959210396,0.9603731036186218,0.9677789211273193,0.9241133332252502,0.05852580443024635
