epoch,dice_coefficient,f1_score,iou_metric,loss,val_dice_coefficient,val_f1_score,val_iou_metric,val_loss
0,0.7391985654830933,0.7759726047515869,0.6292150616645813,0.4127301275730133,0.8587837815284729,0.8827871680259705,0.7544478178024292,0.23976339399814606
1,0.9058777689933777,0.929044246673584,0.8291144371032715,0.1508641541004181,0.8979730010032654,0.916031002998352,0.8160568475723267,0.17371758818626404
2,0.9224089980125427,0.9402724504470825,0.8568546772003174,0.12254765629768372,0.9191408157348633,0.9317433834075928,0.851305365562439,0.1383683681488037
3,0.9337707757949829,0.9483609795570374,0.8764437437057495,0.10498563945293427,0.9311646819114685,0.944495439529419,0.8719248175621033,0.11078017204999924
4,0.9402762651443481,0.9530879855155945,0.8878717422485352,0.09466653317213058,0.9387261867523193,0.9498552680015564,0.8851555585861206,0.10014273226261139
5,0.9448011517524719,0.9564820528030396,0.8958942890167236,0.08659099042415619,0.9433609247207642,0.9539403319358826,0.893368661403656,0.0865292027592659
6,0.9491313099861145,0.9600394368171692,0.9036650061607361,0.07513265311717987,0.9456486105918884,0.9559836983680725,0.8974291086196899,0.08229895681142807
7,0.9515493512153625,0.961837887763977,0.9080232977867126,0.07118743658065796,0.9504194855690002,0.9598954319953918,0.905978798866272,0.07440490275621414
8,0.9537195563316345,0.9634507894515991,0.9119529724121094,0.06776203215122223,0.9529259204864502,0.9619828462600708,0.9105010032653809,0.07022504508495331
9,0.9556494951248169,0.9649232625961304,0.9154631495475769,0.06468883901834488,0.9543974995613098,0.9633034467697144,0.9131776094436646,0.0675368681550026
10,0.9573850035667419,0.9662326574325562,0.9186280369758606,0.06193661689758301,0.9547015428543091,0.9632070660591125,0.91376131772995,0.06727051734924316
11,0.9585362076759338,0.9670922756195068,0.9207374453544617,0.06013570725917816,0.9551266431808472,0.9642506837844849,0.9145074486732483,0.06525952368974686
12,0.959671676158905,0.9679511785507202,0.922822117805481,0.05837945640087128,0.9578071236610413,0.9660764336585999,0.9194052219390869,0.06177752837538719
13,0.9605677127838135,0.9686403870582581,0.9244718551635742,0.056959640234708786,0.9581988453865051,0.9659885764122009,0.9201323390007019,0.061757925897836685
14,0.9617004990577698,0.9695169925689697,0.9265598058700562,0.055216386914253235,0.9590442180633545,0.9670915603637695,0.9216881394386292,0.05949438735842705
15,0.9624665975570679,0.9701101183891296,0.9279722571372986,0.05399426817893982,0.9604296088218689,0.9678761959075928,0.9242257475852966,0.05801050364971161
16,0.9631236791610718,0.9706211686134338,0.9291906356811523,0.05292098596692085,0.9611295461654663,0.9679533839225769,0.9255087375640869,0.057864826172590256
17,0.9639469385147095,0.9713095426559448,0.9307162761688232,0.0514703206717968,0.9615603685379028,0.9689726829528809,0.926304042339325,0.0555754080414772
18,0.964579701423645,0.9717950820922852,0.931885302066803,0.05038514733314514,0.9619823098182678,0.9692689180374146,0.9270838499069214,0.054935380816459656
19,0.9652040004730225,0.9722812175750732,0.9330461621284485,0.04943017661571503,0.9627946019172668,0.969648540019989,0.9285973310470581,0.05424024537205696
20,0.9657482504844666,0.9727102518081665,0.9340583682060242,0.04858510568737984,0.9629790186882019,0.9699750542640686,0.9289349317550659,0.05356719344854355
21,0.9664000868797302,0.973232090473175,0.9352715015411377,0.047602225095033646,0.963182806968689,0.9696062207221985,0.9293220043182373,0.05432599410414696
22,0.9667622447013855,0.9735041260719299,0.9359473586082458,0.04704929143190384,0.9635916948318481,0.9702882170677185,0.930075466632843,0.05299162492156029
23,0.9669670462608337,0.9736438393592834,0.936331033706665,0.04676232114434242,0.9644385576248169,0.9707958102226257,0.9316484332084656,0.052000463008880615
0,0.765027642250061,0.7979925870895386,0.656853973865509,0.37571388483047485,0.8791384100914001,0.9034435153007507,0.7858601808547974,0.2145472764968872
1,0.9104859232902527,0.9330752491950989,0.8367670774459839,0.1422509253025055,0.9024173021316528,0.9208182692527771,0.8234923481941223,0.15921077132225037
2,0.9278110265731812,0.9444507956504822,0.8660763502120972,0.10956238955259323,0.923614501953125,0.939342737197876,0.8589008450508118,0.11796879023313522
3,0.938153862953186,0.9521145820617676,0.8841153979301453,0.0925518348813057,0.9328521490097046,0.9461108446121216,0.8748655915260315,0.10216288268566132
4,0.9438830614089966,0.9562206864356995,0.8942696452140808,0.0833471491932869,0.9413799047470093,0.9520463347434998,0.8898527026176453,0.09042169898748398
5,0.9481185674667358,0.95933598279953,0.9018360376358032,0.07650311291217804,0.9458606839179993,0.9565340280532837,0.8978104591369629,0.08086694031953812
6,0.9506160616874695,0.9611454606056213,0.9063290953636169,0.07251076400279999,0.9482597708702087,0.9581242799758911,0.9020890593528748,0.07800975441932678
7,0.95326828956604,0.9631724953651428,0.9111312031745911,0.06828932464122772,0.9515238404273987,0.9610490798950195,0.9079831838607788,0.07186948508024216
8,0.95450359582901,0.9640408158302307,0.9133844375610352,0.0664888247847557,0.952117383480072,0.962008535861969,0.909013032913208,0.06996247172355652
9,0.956732988357544,0.9657895565032959,0.9174349904060364,0.0628676638007164,0.9560133814811707,0.9642038941383362,0.916118860244751,0.0656571313738823
10,0.9581966996192932,0.966878354549408,0.9201157093048096,0.0606241337954998,0.9561620354652405,0.964813232421875,0.9163892865180969,0.06420501321554184
11,0.9596666693687439,0.968025267124176,0.9228125810623169,0.058326128870248795,0.9570185542106628,0.9656939506530762,0.9179553985595703,0.06255792826414108
12,0.9606156945228577,0.9687362909317017,0.9245553612709045,0.056854113936424255,0.9581143260002136,0.966553270816803,0.919948935508728,0.06067053973674774
13,0.961476743221283,0.9693862795829773,0.9261442422866821,0.055526819080114365,0.9596298336982727,0.9674715995788574,0.9227617383003235,0.058864712715148926
14,0.9624702334403992,0.9701524972915649,0.927977979183197,0.053981173783540726,0.9603348970413208,0.9677026271820068,0.9240556955337524,0.058375511318445206
15,0.9631247520446777,0.9706498384475708,0.9291874170303345,0.05298079922795296,0.9599263668060303,0.9676732420921326,0.9232894778251648,0.05832231044769287
16,0.9634160995483398,0.9708508849143982,0.9297280311584473,0.05257877707481384,0.961260974407196,0.9682343602180481,0.9257640838623047,0.05742493271827698
17,0.9646456837654114,0.9718542098999023,0.9320064783096313,0.050661083310842514,0.9620685577392578,0.9689458012580872,0.9272565841674805,0.05594928190112114
18,0.9652132987976074,0.9722907543182373,0.9330616593360901,0.04980209469795227,0.9627953171730042,0.9696203470230103,0.928587019443512,0.05454025790095329
19,0.9657154083251953,0.9726805090904236,0.9339941740036011,0.04905044659972191,0.9636251926422119,0.9702150225639343,0.930128812789917,0.05346858873963356
20,0.9662854075431824,0.9731370806694031,0.935057520866394,0.04819091036915779,0.9634444117546082,0.9702843427658081,0.9297967553138733,0.05336432904005051
21,0.9668530225753784,0.9735878109931946,0.9361153244972229,0.047330569475889206,0.9641733765602112,0.9707784056663513,0.9311504364013672,0.05248283967375755
22,0.9671324491500854,0.973798394203186,0.9366366267204285,0.04692096263170242,0.9648145437240601,0.9709793925285339,0.9323333501815796,0.052001357078552246
23,0.9677678346633911,0.97431480884552,0.9378226399421692,0.045962974429130554,0.9643512964248657,0.9709010720252991,0.9314890503883362,0.0521945096552372
24,0.9681663513183594,0.9746270179748535,0.9385667443275452,0.04536949843168259,0.9644353985786438,0.9708401560783386,0.9316310882568359,0.05226187780499458
25,0.9686825275421143,0.9750506281852722,0.9395332336425781,0.04459773376584053,0.9657319188117981,0.9715816974639893,0.9340443015098572,0.050984397530555725
26,0.969056248664856,0.9753454327583313,0.9402328133583069,0.044049397110939026,0.966235339641571,0.9719594120979309,0.9349808692932129,0.05035218968987465
27,0.9694104790687561,0.9756234288215637,0.9408954977989197,0.043519966304302216,0.9660343527793884,0.9716578125953674,0.9346103072166443,0.05078170448541641
28,0.969704270362854,0.9758520722389221,0.9414480924606323,0.04307640716433525,0.9664803147315979,0.9722298383712769,0.9354387521743774,0.04971184581518173
29,0.9699979424476624,0.9761113524436951,0.9420011639595032,0.042382895946502686,0.9665348529815674,0.972151517868042,0.935548722743988,0.04956088960170746
30,0.9704186916351318,0.9764525294303894,0.9427915811538696,0.04165082052350044,0.9665700197219849,0.9722604155540466,0.9356061816215515,0.04926593601703644
31,0.9707981944084167,0.9767682552337646,0.9435024857521057,0.041099365800619125,0.9668043851852417,0.9722505807876587,0.936050534248352,0.049489423632621765
32,0.9711073040962219,0.9770072102546692,0.9440839290618896,0.04058947414159775,0.9672789573669434,0.9727820754051208,0.936945378780365,0.048434216529130936
33,0.9713218808174133,0.9771731495857239,0.9444898366928101,0.04026757925748825,0.9676752686500549,0.9731072783470154,0.9376873970031738,0.04794606566429138
34,0.9719436764717102,0.9777007102966309,0.9456607699394226,0.03937092050909996,0.9677755832672119,0.9731830954551697,0.9378689527511597,0.04776348918676376
35,0.9721827507019043,0.9778890013694763,0.9461143612861633,0.0390268936753273,0.9681262969970703,0.9731796383857727,0.9385290741920471,0.04781637713313103
36,0.9725117087364197,0.9781518578529358,0.9467349648475647,0.038561392575502396,0.9682903289794922,0.9734271168708801,0.9388350248336792,0.04737089201807976
37,0.972712516784668,0.9783036112785339,0.9471132755279541,0.038284510374069214,0.9681826829910278,0.9735636115074158,0.9386389255523682,0.04713417962193489
38,0.9730209112167358,0.9785559177398682,0.9476974010467529,0.03783901780843735,0.968665361404419,0.9737629294395447,0.9395473003387451,0.04703120142221451
39,0.9732050895690918,0.9787002205848694,0.9480456709861755,0.03757625073194504,0.968707263469696,0.973860502243042,0.939624547958374,0.046606697142124176
40,0.9734363555908203,0.9788753390312195,0.9484850168228149,0.037252504378557205,0.9687598943710327,0.9738084673881531,0.9397283792495728,0.04686330631375313
41,0.9738280177116394,0.9792131781578064,0.9492242932319641,0.03669186681509018,0.9688454270362854,0.9739552736282349,0.9398855566978455,0.04647234082221985
42,0.9739536046981812,0.9793020486831665,0.9494629502296448,0.036509592086076736,0.9687170386314392,0.9738951325416565,0.9396520853042603,0.046615514904260635
43,0.9742493033409119,0.9795419573783875,0.9500235915184021,0.03609234839677811,0.9692215919494629,0.9741492867469788,0.9405928254127502,0.04631702974438667
44,0.9744213819503784,0.9796891808509827,0.9503490328788757,0.03584565594792366,0.9698354005813599,0.9743773341178894,0.9417493939399719,0.046032194048166275
45,0.9745877981185913,0.9798071980476379,0.950664222240448,0.035628367215394974,0.9692398905754089,0.9741119146347046,0.9406316876411438,0.04648830369114876
46,0.9749100804328918,0.9800859689712524,0.9512789249420166,0.03516339510679245,0.9694873094558716,0.9740912914276123,0.9410934448242188,0.046408530324697495
47,0.975132942199707,0.9802572727203369,0.9516995549201965,0.0348459854722023,0.9696720242500305,0.9744462370872498,0.9414551854133606,0.04583313316106796
48,0.9753381609916687,0.9804308414459229,0.9520905613899231,0.03455076366662979,0.9698868989944458,0.9744966626167297,0.9418560862541199,0.04572470486164093
49,0.9755038022994995,0.9805590510368347,0.952404797077179,0.034337397664785385,0.9696429371833801,0.9747301340103149,0.9413986206054688,0.04543037712574005
50,0.97577303647995,0.9807827472686768,0.9529171586036682,0.03394355997443199,0.9703800678253174,0.9747329950332642,0.942782461643219,0.04570509120821953
51,0.9759346842765808,0.980906069278717,0.9532246589660645,0.03373749554157257,0.9699452519416809,0.9748721122741699,0.9419772624969482,0.04531477764248848
52,0.9761039018630981,0.9810510277748108,0.9535456299781799,0.03348684310913086,0.9705020189285278,0.974729597568512,0.9430193305015564,0.045660682022571564
53,0.9762720465660095,0.981183648109436,0.9538670182228088,0.03325416147708893,0.9704155325889587,0.9748885035514832,0.9428573846817017,0.045298200100660324
54,0.9764818549156189,0.9813517332077026,0.9542667269706726,0.03297070041298866,0.9702883958816528,0.974351167678833,0.942618727684021,0.04672019183635712
55,0.9765646457672119,0.9814107418060303,0.9544241428375244,0.03285708650946617,0.9702940583229065,0.9748122096061707,0.9426342844963074,0.04539378732442856
56,0.9767904281616211,0.9816035032272339,0.9548547863960266,0.03253498673439026,0.9704329371452332,0.9747756123542786,0.9429048895835876,0.045722972601652145
57,0.9778041243553162,0.9825419783592224,0.9567917585372925,0.031068313866853714,0.9715767502784729,0.9757749438285828,0.9450628757476807,0.0440153107047081
58,0.9782795310020447,0.9829721450805664,0.9576981663703918,0.03040253184735775,0.9716732501983643,0.9758275151252747,0.9452468752861023,0.04403873533010483
59,0.9784567952156067,0.9831241369247437,0.9580367803573608,0.030165039002895355,0.9717093110084534,0.9758395552635193,0.9453149437904358,0.04408588260412216
60,0.9786263704299927,0.9832693934440613,0.9583597779273987,0.029942501336336136,0.971692681312561,0.9758099317550659,0.9452860355377197,0.04423356056213379
61,0.9787443280220032,0.98336261510849,0.9585851430892944,0.029785599559545517,0.971660852432251,0.9758214354515076,0.9452266693115234,0.044231727719306946
62,0.9788541197776794,0.9834597110748291,0.9587960839271545,0.029639502987265587,0.971823513507843,0.9758334159851074,0.9455322027206421,0.04436064884066582
63,0.9789655804634094,0.9835569858551025,0.9590099453926086,0.029484746977686882,0.9718485474586487,0.975860059261322,0.9455822706222534,0.04431547224521637
64,0.9790070652961731,0.9835930466651917,0.9590890407562256,0.029427213594317436,0.9718626141548157,0.9758594036102295,0.9456074833869934,0.044324733316898346
65,0.9790193438529968,0.9836058616638184,0.9591113924980164,0.02941053919494152,0.9718676805496216,0.9758578538894653,0.9456173777580261,0.04431945085525513
66,0.9790210723876953,0.9836090803146362,0.9591146111488342,0.02941211499273777,0.9718720316886902,0.9758560061454773,0.9456263184547424,0.04434537887573242
